Week,Cases of acute respiratory infections,Cases of severe acute respiratory infections
2009-01-05,,
2009-01-12,,
2009-01-19,,
2009-01-26,,
2009-02-02,,
2009-02-09,,
2009-02-16,,
2009-02-23,,
2009-03-02,,
2009-03-09,,
2009-03-16,,
2009-03-23,,
2009-03-30,,
2009-04-06,,
2009-04-13,,
2009-04-20,,
2009-04-27,,
2009-05-04,,
2009-05-11,,
2009-05-18,,
2009-05-25,,
2009-06-01,,
2009-06-08,,
2009-06-15,,
2009-06-22,,
2009-06-29,,
2009-07-06,,
2009-07-13,,
2009-07-20,,
2009-07-27,,
2009-08-03,,
2009-08-10,,
2009-08-17,,
2009-08-24,,
2009-08-31,,
2009-09-07,,
2009-09-14,,
2009-09-21,,
2009-09-28,,
2009-10-05,,
2009-10-12,,
2009-10-19,,
2009-10-26,,
2009-11-02,,
2009-11-09,,
2009-11-16,,
2009-11-23,,
2009-11-30,,
2009-12-07,,
2009-12-14,,
2009-12-21,,
2009-12-28,,
2010-01-04,561481,
2010-01-11,620314,
2010-01-18,654314,
2010-01-25,649809,
2010-02-01,553197,
2010-02-08,652821,
2010-02-15,645598,
2010-02-22,661149,
2010-03-01,658121,
2010-03-08,630447,
2010-03-15,551735,
2010-03-22,546076,
2010-03-29,409190,
2010-04-05,478043,
2010-04-12,421318,
2010-04-19,451184,
2010-04-26,449726,
2010-05-03,451046,
2010-05-10,395827,
2010-05-17,0,
2010-05-24,399198,
2010-05-31,417378,
2010-06-07,406706,
2010-06-14,388388,
2010-06-21,389829,
2010-06-28,360152,
2010-07-05,345039,
2010-07-12,0,
2010-07-19,331510,
2010-07-26,314796,
2010-08-02,352956,
2010-08-09,358212,
2010-08-16,397982,
2010-08-23,415476,
2010-08-30,508768,
2010-09-06,589783,
2010-09-13,447775,
2010-09-20,554305,
2010-09-27,555544,
2010-10-04,644673,
2010-10-11,629464,
2010-10-18,642351,
2010-10-25,595134,
2010-11-01,578731,
2010-11-08,695530,
2010-11-15,662922,
2010-11-22,754297,
2010-11-29,770735,
2010-12-06,853985,
2010-12-13,813923,
2010-12-20,695790,
2010-12-27,644161,
2011-01-03,602559,
2011-01-10,646807,
2011-01-17,660252,
2011-01-24,676604,
2011-01-31,650403,
2011-02-07,609010,
2011-02-14,654813,
2011-02-21,634374,
2011-02-28,585103,
2011-03-07,585023,
2011-03-14,564633,
2011-03-21,508778,
2011-03-28,529041,
2011-04-04,505832,
2011-04-11,461599,
2011-04-18,356316,
2011-04-25,413574,
2011-05-02,387633,
2011-05-09,374649,
2011-05-16,417293,
2011-05-23,416319,
2011-05-30,410157,
2011-06-06,415883,
2011-06-13,392318,
2011-06-20,375111,
2011-06-27,0,
2011-07-04,344928,
2011-07-11,348501,
2011-07-18,0,
2011-07-25,324062,
2011-08-01,320936,
2011-08-08,326520,
2011-08-15,0,
2011-08-22,327738,
2011-08-29,0,
2011-09-05,0,
2011-09-12,0,
2011-09-19,0,
2011-09-26,0,
2011-10-03,530097,
2011-10-10,481169,
2011-10-17,0,
2011-10-24,552309,
2011-10-31,524159,
2011-11-07,0,
2011-11-14,0,
2011-11-21,0,
2011-11-28,0,
2011-12-05,594154,
